healpix_6,n_objetos
28698,1023592
28699,1057221
28707,1055517
28708,1026162
28709,1042677
28710,1075493
28711,1059701
28713,1076004
28715,1067377
28716,1082705
28717,1017779
28718,1074927
28720,1059584
28721,1082334
28722,1079355
28723,1064773
28724,1090606
28726,1117707
28728,1056823
28729,1062359
28731,1032215
28732,1105227
28733,1043015
28734,1062739
28735,1103489
28821,1079897
28823,1064142
28864,1005892
28866,1081516
28907,1061639
28910,1081474
28911,1054232
29184,1068948
29185,1041653
29254,1023886
29260,1031259
